Fecha,ID del producto,Nombre del producto, Nombre completo del producto,Marca del producto,Categoría,Subcategoría,Etiquetas,Precio unitario del producto,Unidades Vendidas
20190609,7702155021451,Limpia tapicería en espuma Binner ,Limpia tapicería en espuma Binner x 400ml,BINNER,Supermercado,Aseo de hogar,Alfombras,15590,1
20190609,7702155016457,Limpia tapicería y alfombras Binner ,Limpia tapicería y alfombras Binner x 500ml,BINNER,Supermercado,Aseo de hogar,Alfombras,13993,1
20190609,4008455446318,Limpiador Dr. Beckmann alfombras 2en1 poder oxi ,Limpiador Dr. Beckmann alfombras 2en1 poder oxi x 650 ml,DR.BECKMANN,Supermercado,Aseo de hogar,Alfombras,16513,1
20190609,7702532312677,Aceite Bon Aire eléctrico perfume flores ,Aceite Bon Aire eléctrico perfume flores x 25 ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,14990,1
20190609,7702532312967,Ambientador Aire Varitas Bambú Bonaire 2 Repuestos ,Ambientador Aire Varitas Bambú Bonaire 2 Repuestos x 80ml c-u,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,34990,1
20190609,7702532314305,Ambientador Auto Spray Carro Nuevo Bonaire ,Ambientador Auto Spray Carro Nuevo Bonaire x 25ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,8190,1
20190609,7702532300124,Ambientador Bon Aire electra oíl vainilla ,Ambientador Bon Aire electra oíl vainilla x 25ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,14390,1
20190609,7702532371247,Ambientador Bon Aire toque único fantasía floral ,Ambientador Bon Aire toque único fantasía floral x 14ml + dosificador,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,7273,1
20190609,7702532380317,Ambientador Bonaire concentrado tropical breeze ,Ambientador Bonaire concentrado tropical breeze x 60 ml,BON AIRE,Supermercado,Aseo de hogar,Ambientadores,7790,1
20190609,7702532462563,Ambientador Bonaire fantasía floral + repuesto ,Ambientador Bonaire fantasía floral + repuesto x 250 ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,28990,1
20190609,7702532313520,Ambientador Bonaire frutos rojos ,Ambientador Bonaire frutos rojos x 2 und x 25 ml c-u,BON AIRE,Supermercado,Aseo de hogar,Ambientadores,15990,1
20190609,7702532313537,Ambientador Bonaire vainilla fresa ,Ambientador Bonaire vainilla fresa x 2 und x 25 ml c-u,BON AIRE,Supermercado,Aseo de hogar,Ambientadores,15990,1
20190609,7702532911672,Ambientador Bonaire vainilla seducción + repuesto ,Ambientador Bonaire vainilla seducción + repuesto x 250 ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,28990,1
20190609,7702532312837,Ambientador Bonaire Varitas Frutos Rojosx80mlx2Und,Ambientador Bonaire Varitas Frutos Rojosx80mlx2Und,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,34990,1
20190609,7702532312844,Ambientador Bonaire Varitas Vainilla ,Ambientador Bonaire Varitas Vainilla X 80ml X 2Und,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,34990,1
20190609,7702158806048,Ambientador Brize manzana verde citica frutal bosque aerosol ,Ambientador Brize manzana verde citica frutal bosque aerosol x 3 und x 360 ml Precio Especial,BRIZZE,Supermercado,Aseo de hogar,Ambientadores,16513,1
20190609,7702158806031,Ambientador Brizze frutos bosque palitos ,Ambientador Brizze frutos bosque palitos x 2 und x 60 ml c-u,BRIZZE,Supermercado,Aseo de hogar,Ambientadores,14693,1
20190609,7702158805867,Ambientador brizze frutos bosque palitos ,Ambientador brizze frutos bosque palitos x 3unds x 60ml,BRIZZE,Supermercado,Aseo de hogar,Ambientadores,20993,1
20190609,7702158805423,Ambientador Brizze palitos de rattan vainilla ,Ambientador Brizze palitos de rattan vainilla x 60 ml,BRIZZE,Supermercado,Aseo de hogar,Ambientadores,10493,1
20190609,7702158805805,Ambientador Brizze pasión tropical Palitos ,Ambientador Brizze pasión tropical Palitos x 2 und x 60 ml c-u,BRIZZE,Supermercado,Aseo de hogar,Ambientadores,18193,1
20190609,7702158805850,Ambientador delicias vailla pltos Brizze ,Ambientador delicias vailla pltos Brizze x 3 und x 60 ml c-u,BRIZZE,Supermercado,Aseo de hogar,Ambientadores,24493,1
20190609,7591005980839,Ambientador Eléctrico Liquido Lavanda y Flor De Durazno Glade Aceites Naturales 1 Aparato + 1 Repuesto ,Ambientador Eléctrico Liquido Lavanda y Flor De Durazno Glade Aceites Naturales 1 Aparato + 1 Repuesto x 21ml,GLADE,Supermercado,Aseo de hogar,Ambientadores,10073,1
20190609,7591005981027,Ambientador Eléctrico Liquido Manzana y Canela Glade Aceites Naturales 1 Aparato + 1 Repuesto ,Ambientador Eléctrico Liquido Manzana y Canela Glade Aceites Naturales 1 Aparato + 1 Repuesto x 21ml,GLADE,Supermercado,Aseo de hogar,Ambientadores,10073,1
20190609,7702430522284,Ambientador En Gel De Bolsa Para Espacios Pequeños Manzana y Canela Glade ,Ambientador En Gel De Bolsa Para Espacios Pequeños Manzana y Canela Glade x 31g,GLADE,Supermercado,Aseo de hogar,Ambientadores,1883,1
20190609,7591005996526,Ambientador glade abrazos vainilla líquido repuesto ,Ambientador glade abrazos vainilla líquido repuesto x 3und x 63ml,GLADE,Supermercado,Aseo de hogar,Ambientadores,14693,1
20190609,7591005996373,Ambientador Glade aceites naturales y alegría floral repuesto ,Ambientador Glade aceites naturales y alegría floral repuesto x 21 ml + dispensador,GLADE,Supermercado,Aseo de hogar,Ambientadores,10073,1
20190609,7591005996403,Ambientador Glade alegría floral líquido repuesto ,Ambientador Glade alegría floral líquido repuesto x 3 und x 63 ml,GLADE,Supermercado,Aseo de hogar,Ambientadores,15113,1
20190609,7591005577626,Ambientador Glade automático precio especial ,Ambientador Glade automático precio especial x 2 unds,GLADE,Supermercado,Aseo de hogar,Ambientadores,23093,1
20190609,7591005994348,Ambientador Glade surtido aerosol ,Ambientador Glade surtido aerosol x 3unds x 400ml c-u,GLADE,Supermercado,Aseo de hogar,Ambientadores,20490,1
20190609,7702430526633,Ambientador Glade toque manzana+ repuestox 2 und ,Ambientador Glade toque manzana+ repuestox 2 und x 9 g c-u,GLADE,Supermercado,Aseo de hogar,Ambientadores,12313,1
20190609,7702532370974,Ambientador Spray Frescura Ambiental Baby Fresh Bonaire ,Ambientador Spray Frescura Ambiental Baby Fresh Bonaire x 400ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,10990,1
20190609,7702532370912,Ambientador Spray Frescura Ambiental Canela Bonaire ,Ambientador Spray Frescura Ambiental Canela Bonaire x 400ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,9190,1
20190609,7702532370707,Ambientador Spray Frescura Ambiental Frutos Rojos Bonaire ,Ambientador Spray Frescura Ambiental Frutos Rojos Bonaire x 400ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,10390,1
20190609,7702532370769,Ambientador Spray Frescura Ambiental Surtido Bonaire 3 und ,Ambientador Spray Frescura Ambiental Surtido Bonaire 3 und x 400ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,21990,1
20190609,7702532313100,Ambientador Varitas Frescura Citronela Bonaire ,Ambientador Varitas Frescura Citronela Bonaire x 80ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,18990,1
20190609,7702532312790,Ambientador Varitas Frescura Frutos Rojos Bonaire ,Ambientador Varitas Frescura Frutos Rojos Bonaire x 80ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,18990,1
20190609,7702532312738,Ambientador Varitas Frescura Lavanda Manzanilla Bonaire ,Ambientador Varitas Frescura Lavanda Manzanilla Bonaire x 80ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,18990,1
20190609,7702532312714,Ambientador Varitas Frescura Pomelo Bonaire ,Ambientador Varitas Frescura Pomelo Bonaire x 80ml,BONAIRE,Supermercado,Aseo de hogar,Ambientadores,18990,1
